problem_id,worker_role,worker_domain,problem_title,problem_description,type_of_issue,impacted_users_estimate,public_reputation_risk,revenue_impact_estimate,time_to_fix_estimate_hours,label
P0018,Engineer,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,251183,0,0,12,vitamin
P0019,Engineer,User Experience,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,797649,0,0,62,vitamin
P0020,Research Scientist,Monetization,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,222186,0,52296,49,hair_on_fire
P0021,Community Manager,User Experience,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,260047,0,0,4,vitamin
P0022,Product Designer,Accessibility,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,74541,0,0,6,hair_on_fire
P0023,Marketer,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,292104,1,0,18,hair_on_fire
P0024,Community Manager,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,846821,1,0,14,vitamin
P0025,Data Scientist,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,431171,1,7100,14,hair_on_fire
P0026,Content Moderator,Developer Tools,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,839582,0,0,26,hair_on_fire
P0027,Community Manager,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,192501,1,9880,58,hair_on_fire
P0028,Engineer,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,97893,0,0,64,hair_on_fire
P0029,Community Manager,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,946379,0,0,2,hair_on_fire
P0030,Data Scientist,Monetization,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,299205,1,95748,64,hair_on_fire
P0031,Research Scientist,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,228375,0,71066,9,hair_on_fire
P0032,Marketer,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,612654,1,69615,22,hair_on_fire
P0033,Content Moderator,Core Engineering,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,71949,0,30828,53,hair_on_fire
P0034,Engineer,Accessibility,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,649568,0,76503,68,hair_on_fire
P0035,Marketer,Monetization,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,702358,1,0,52,hair_on_fire
P0036,Research Scientist,Monetization,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,331635,0,0,14,vitamin
P0037,Engineer,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,138990,1,32018,49,hair_on_fire
P0038,Policy Analyst,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,874344,1,85717,69,hair_on_fire
P0039,Content Moderator,Monetization,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,984639,0,0,15,vitamin
P0040,Research Scientist,Monetization,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,634310,0,26685,35,hair_on_fire
P0041,Community Manager,Monetization,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,96881,1,5778,2,hair_on_fire
P0042,Marketer,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,169530,1,56057,3,hair_on_fire
P0043,Engineer,Core Engineering,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,572192,0,76350,72,hair_on_fire
P0044,Research Scientist,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,43960,1,5229,47,hair_on_fire
P0045,Product Designer,Accessibility,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,370958,1,98235,21,hair_on_fire
P0046,Product Designer,Growth,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,924331,1,0,44,vitamin
P0047,Data Scientist,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,167031,0,5075,62,hair_on_fire
P0048,Product Designer,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,366743,1,29831,30,hair_on_fire
P0049,Content Moderator,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,344307,1,36585,46,hair_on_fire
P0050,Data Scientist,Trust & Safety,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,121044,1,0,35,hair_on_fire
P0051,Content Moderator,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,362579,1,67033,16,hair_on_fire
P0052,Data Scientist,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,46642,1,0,70,vitamin
P0053,Product Designer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,73472,1,86951,17,hair_on_fire
P0054,Policy Analyst,Monetization,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,342127,1,72667,18,hair_on_fire
P0055,Product Designer,Developer Tools,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,710319,0,39446,53,hair_on_fire
P0056,Content Moderator,Monetization,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,220492,1,79516,43,hair_on_fire
P0057,Community Manager,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,708546,0,96463,23,hair_on_fire
P0058,Engineer,Monetization,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,98023,0,29444,27,hair_on_fire
P0059,Research Scientist,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,256836,1,9545,60,hair_on_fire
P0060,Data Scientist,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,518492,1,0,2,hair_on_fire
P0061,Engineer,Developer Tools,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,184530,1,0,33,hair_on_fire
P0062,Engineer,User Experience,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,840446,1,73259,42,hair_on_fire
P0063,Community Manager,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,940890,0,62216,59,hair_on_fire
P0064,Policy Analyst,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,803113,1,35992,58,hair_on_fire
P0065,Engineer,Monetization,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,285013,1,70798,12,hair_on_fire
P0066,Research Scientist,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,401741,0,8418,55,hair_on_fire
P0067,Data Scientist,Trust & Safety,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,436070,0,0,55,vitamin
P0068,Data Scientist,Platform Integrity,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,500249,0,39139,51,hair_on_fire
P0069,Data Scientist,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,230180,1,3804,51,vitamin
P0070,Marketer,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,881434,1,81560,70,hair_on_fire
P0071,Content Moderator,Developer Tools,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,88125,1,0,61,hair_on_fire
P0072,Research Scientist,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,397619,1,0,43,vitamin
P0073,Marketer,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,788639,1,0,12,vitamin
P0074,Community Manager,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,998260,1,0,10,hair_on_fire
P0075,Content Moderator,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,209144,0,31266,18,hair_on_fire
P0076,Community Manager,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,487723,1,21992,16,hair_on_fire
P0077,Research Scientist,Monetization,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,606894,0,75470,50,hair_on_fire
P0078,Data Scientist,Accessibility,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,620959,0,0,40,vitamin
P0079,Engineer,Platform Integrity,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,558723,1,9038,66,hair_on_fire
P0080,Marketer,Platform Integrity,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,862376,1,0,48,hair_on_fire
P0081,Community Manager,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,184792,1,70539,63,hair_on_fire
P0082,Community Manager,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,338060,0,11359,37,hair_on_fire
P0083,Community Manager,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,597630,1,64789,43,hair_on_fire
P0084,Research Scientist,User Experience,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,372160,1,78139,37,hair_on_fire
P0085,Content Moderator,Accessibility,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,253180,1,99374,32,hair_on_fire
P0086,Community Manager,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,831550,0,0,30,vitamin
P0087,Data Scientist,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,696312,1,69588,46,hair_on_fire
P0088,Data Scientist,Trust & Safety,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,737096,1,0,34,hair_on_fire
P0089,Product Designer,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,330976,0,99901,25,hair_on_fire
P0090,Product Designer,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,290030,1,25443,39,hair_on_fire
P0091,Product Designer,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,317050,0,16591,37,hair_on_fire
P0092,Content Moderator,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,731395,0,98669,64,hair_on_fire
P0093,Engineer,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,492298,1,24164,8,hair_on_fire
P0094,Policy Analyst,User Experience,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,862150,0,9710,8,hair_on_fire
P0095,Research Scientist,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,89418,0,0,55,vitamin
P0096,Product Designer,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,952735,1,0,56,vitamin
P0097,Policy Analyst,Platform Integrity,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,993720,0,34687,12,hair_on_fire
P0098,Research Scientist,Accessibility,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,578905,0,0,54,vitamin
P0099,Community Manager,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,34325,0,0,38,vitamin
P0100,Community Manager,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,968890,1,81927,27,hair_on_fire
P0101,Data Scientist,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,679194,0,18643,11,hair_on_fire
P0102,Content Moderator,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,624048,1,61433,40,hair_on_fire
P0103,Data Scientist,Monetization,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,459123,0,56626,43,hair_on_fire
P0104,Policy Analyst,Platform Integrity,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,240144,0,88117,36,hair_on_fire
P0105,Content Moderator,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,544273,1,23788,57,hair_on_fire
P0106,Community Manager,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,364963,1,87835,15,hair_on_fire
P0107,Research Scientist,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,727469,1,0,53,hair_on_fire
P0108,Content Moderator,User Experience,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,329895,1,52976,67,hair_on_fire
P0109,Content Moderator,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,56937,0,81609,65,hair_on_fire
P0110,Community Manager,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,280128,0,57424,64,hair_on_fire
P0111,Engineer,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,744361,0,1792,72,hair_on_fire
P0112,Data Scientist,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,882377,0,15396,21,hair_on_fire
P0113,Community Manager,Monetization,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,435773,1,31946,60,hair_on_fire
P0114,Research Scientist,Developer Tools,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,966748,0,36208,55,hair_on_fire
P0115,Marketer,Monetization,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,296678,1,76011,64,hair_on_fire
P0116,Research Scientist,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,361988,1,71228,50,hair_on_fire
P0117,Community Manager,Trust & Safety,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,731480,0,30613,54,hair_on_fire
P0118,Content Moderator,Trust & Safety,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,739585,1,86991,21,hair_on_fire
P0119,Community Manager,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,526790,1,57711,14,hair_on_fire
P0120,Community Manager,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,429993,0,0,35,vitamin
P0121,Marketer,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,893240,1,69942,50,hair_on_fire
P0122,Marketer,User Experience,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,647553,0,0,38,hair_on_fire
P0123,Product Designer,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,103325,0,90964,40,hair_on_fire
P0124,Content Moderator,Platform Integrity,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,834916,0,0,49,hair_on_fire
P0125,Data Scientist,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,557068,1,23600,23,hair_on_fire
P0126,Research Scientist,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,649913,0,76435,20,hair_on_fire
P0127,Product Designer,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,481994,1,60981,38,hair_on_fire
P0128,Research Scientist,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,991251,1,39210,56,hair_on_fire
P0129,Policy Analyst,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,208994,1,13979,32,hair_on_fire
P0130,Data Scientist,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,733347,1,0,52,vitamin
P0131,Policy Analyst,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,954951,1,37512,31,hair_on_fire
P0132,Marketer,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,651151,1,94493,19,hair_on_fire
P0133,Engineer,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,827018,1,0,48,vitamin
P0134,Research Scientist,Core Engineering,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,342689,1,0,18,vitamin
P0135,Marketer,Monetization,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,269552,1,38684,45,hair_on_fire
P0136,Engineer,User Experience,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,147694,0,94924,52,hair_on_fire
P0137,Marketer,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,14694,1,59609,49,hair_on_fire
P0138,Policy Analyst,Developer Tools,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,113709,0,81205,43,hair_on_fire
P0139,Product Designer,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,953662,1,15292,19,hair_on_fire
P0140,Content Moderator,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,516654,0,0,70,vitamin
P0141,Research Scientist,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,389133,1,95236,21,hair_on_fire
P0142,Data Scientist,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,645658,1,36666,6,hair_on_fire
P0143,Marketer,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,466397,0,13022,49,hair_on_fire
P0144,Marketer,Platform Integrity,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,289382,0,59600,13,hair_on_fire
P0145,Product Designer,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,825113,1,0,18,hair_on_fire
P0146,Product Designer,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,614967,0,30539,44,hair_on_fire
P0147,Research Scientist,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,900204,0,70807,34,hair_on_fire
P0148,Research Scientist,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,138305,0,31186,43,hair_on_fire
P0149,Content Moderator,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,55044,0,68955,16,hair_on_fire
P0150,Engineer,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,815909,1,14293,59,hair_on_fire
P0151,Product Designer,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,480392,0,0,63,vitamin
P0152,Data Scientist,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,514184,1,0,12,vitamin
P0153,Marketer,Growth,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,132421,1,76724,72,hair_on_fire
P0154,Marketer,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,475855,1,0,16,vitamin
P0155,Product Designer,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,931330,0,59441,53,hair_on_fire
P0156,Data Scientist,Core Engineering,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,447594,1,49060,21,hair_on_fire
P0157,Community Manager,Core Engineering,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,872276,0,0,14,vitamin
P0158,Marketer,Growth,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,615053,1,53845,47,hair_on_fire
P0159,Data Scientist,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,629675,1,75748,66,hair_on_fire
P0160,Product Designer,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,235237,0,72910,49,hair_on_fire
P0161,Engineer,Monetization,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,846532,1,81490,5,hair_on_fire
P0162,Policy Analyst,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,286644,1,46009,2,hair_on_fire
P0163,Research Scientist,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,73065,0,4018,13,hair_on_fire
P0164,Product Designer,Developer Tools,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,475782,1,0,41,hair_on_fire
P0165,Marketer,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,163237,0,6522,12,hair_on_fire
P0166,Policy Analyst,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,509353,1,28255,67,hair_on_fire
P0167,Engineer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,116376,1,77743,64,hair_on_fire
P0168,Policy Analyst,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,414563,0,0,40,hair_on_fire
P0169,Product Designer,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,303607,1,0,65,vitamin
